SRR598589	GTEX-PLZ5	Heart
SRR601868	GTEX-O5YW	Heart
SRR607313	GTEX-OXRK	Heart
SRR599086	GTEX-PSDG	Heart
SRR1477033	GTEX-P4PP	Heart
SRR601986	GTEX-OIZG	Heart
SRR600474	GTEX-PX3G	Heart
SRR607252	GTEX-PWCY	Heart
SRR602106	GTEX-NFK9	Heart
SRR599249	GTEX-QESD	Heart
SRR612875	GTEX-RU72	Heart
SRR606939	GTEX-POMQ	Heart
SRR604230	GTEX-QDVJ	Heart
SRR608096	GTEX-N7MS	Heart
SRR1481012	GTEX-YEC4	Heart
SRR603449	GTEX-OHPK	Heart
SRR1477569	GTEX-11DXZ	Heart
SRR600852	GTEX-OXRL	Heart
SRR601645	GTEX-P4PQ	Heart
SRR612335	GTEX-R55G	Heart
SRR614996	GTEX-RNOR	Heart
SRR1477015	GTEX-13O3O	Heart
SRR604174	GTEX-O5YV	Heart
SRR614683	GTEX-QV44	Heart
SRR601613	GTEX-P78B	Heart
SRR604122	GTEX-QDVN	Heart
SRR599380	GTEX-QLQ7	Heart
SRR601239	GTEX-Q2AH	Heart
SRR1478189	GTEX-13O21	Heart
